CODE,AGRI_OWNERSHIP_MEAN,RURAL_MEAN,HHTYPE_MODE,HHSIZE_CAT_MODE,EDUC_MODE
AFG,0.559912067045248,0.2345509778666701,6,5,1
AGO,0.4486485944166558,0.2702771177831091,3,5,1
ALB,0.3309796999117387,0.364979469664991,3,3,1
ARG,-1.0,0.155614870993728,3,3,3
ARM,0.4054925765956103,0.2521628894328839,6,4,5
ATG,-1.0,0.2637972251135232,3,3,3
AUS,-1.0,0.1975584462855425,3,3,3
AUT,-1.0,0.4377652515218407,3,3,4
AZE,-1.0,0.2539207502988432,3,4,1
BDI,0.8419428827450139,0.2546224069069095,3,5,1
BEL,-1.0,0.2366098962445392,3,3,4
BEN,0.6191227046479318,0.3069735249264658,3,5,1
BFA,-1.0,0.5228666069776299,3,4,1
BGD,0.4681754993734671,0.0452908030558393,3,4,1
BGR,-1.0,0.4105502087306482,3,3,3
BHR,-1.0,0.0247143617674761,3,3,3
BHS,-1.0,0.1755232841148791,3,3,3
BIH,-1.0,0.4922581051114423,3,3,3
BLR,-1.0,0.2820736202005417,3,3,3
BLZ,-1.0,0.4427800242443975,3,4,1
BOL,-1.0,0.3184024328386257,3,4,1
BRA,-1.0,0.2287734994410192,3,3,1
BRN,-1.0,0.2252169853108427,3,3,3
BTN,-1.0,0.6511935169161229,3,4,1
BWA,-1.0,0.3206839383452606,3,4,1
CAF,-1.0,0.4490176176636247,3,4,1
CAN,-1.0,0.2512604840882401,3,3,5
CHE,-1.0,0.2650935399385,3,3,4
CHL,-1.0,0.1933258420360951,3,3,4
CHN,-1.0,0.2412057235359839,3,3,3
CMR,0.6144367325703297,0.2745687367707002,3,5,1
COD,0.606158636429638,0.3119508257797496,3,5,1
COG,-1.0,0.1518859519563256,3,4,1
COL,-1.0,0.2125202130501852,3,3,3
COM,-1.0,0.2056863253882937,3,4,1
CPV,-1.0,0.2170920278855464,3,4,1
CRI,-1.0,0.2785426412488503,3,3,3
CUB,-1.0,0.1992919351387379,3,3,3
CYP,-1.0,0.2537248406682138,3,3,3
CZE,-1.0,0.3752437831846882,3,3,4
DEU,-1.0,0.2931069279226238,3,3,4
DJI,-1.0,0.1070150679268414,3,4,1
DMA,-1.0,0.5590399208182119,3,4,1
DNK,-1.0,0.3592601097415048,3,3,4
DOM,0.1235512654466185,0.1651308618743671,3,3,1
DZA,-1.0,0.2410349879023761,3,4,1
EST,-1.0,0.5256395322157624,3,3,4
ETH,0.7659240953641966,0.3816340577326409,3,5,1
FIN,-1.0,0.4067942319386559,3,3,3
FRA,-1.0,0.3902791167531464,3,3,4
FSM,-1.0,0.7223599343914561,3,4,1
GAB,-1.0,0.2092521300987913,3,4,1
GBR,-1.0,0.155583729002655,3,3,5
GEO,-1.0,0.499590628479103,3,4,4
GHA,0.463639337291268,0.2622123720430758,3,4,1
GIN,-1.0,0.4774851113933072,3,4,1
GMB,0.4719704424683759,0.2942387862088708,6,6,1
GNB,-1.0,0.465691832171136,3,4,1
GNQ,-1.0,0.3094652194431335,3,4,1
GRC,-1.0,0.331225433480316,3,3,4
GRD,-1.0,0.2990260688032411,3,3,3
GTM,0.3533865460724711,0.2949527821992481,3,4,1
GUY,-1.0,0.2878679777046993,3,4,1
HND,-1.0,0.4577476345328189,3,4,1
HRV,-1.0,0.4565975963176825,3,3,3
HTI,0.6532901420728909,0.2314503078834731,6,4,1
HUN,-1.0,0.3879612461283341,3,3,4
IDN,0.3501010402343295,0.1659278577451587,3,3,1
IND,0.42748721838595,0.2008917841269127,3,4,1
IRL,-1.0,0.4652926939427058,3,3,5
IRN,-1.0,0.1943579151446107,3,3,3
IRQ,-1.0,0.1490508293173176,3,4,1
ISL,-1.0,0.2542620005354717,3,3,3
ISR,-1.0,0.0819927683466715,3,3,5
ITA,-1.0,0.2554913061753592,3,3,4
JAM,-1.0,0.2734507808551022,3,4,1
JOR,-1.0,0.0909065129258403,3,4,1
JPN,-1.0,0.0968037669714511,3,3,1
KAZ,-1.0,0.2639133165846715,3,3,3
KEN,0.6797873548027129,0.2943908739411128,3,4,1
KGZ,-1.0,0.26095257043831,3,3,3
KHM,0.670491130140084,0.3841044665882746,3,4,1
KOR,-1.0,0.1046851633964826,3,3,3
KWT,-1.0,0.0460494670108831,3,3,3
LAO,-1.0,0.7452085910217033,3,4,1
LBN,-1.0,0.1083452006087573,3,4,1
LBR,-1.0,0.4490396355590629,6,5,1
LBY,-1.0,0.264230598419398,3,3,3
LIE,-1.0,0.2315725142158686,3,3,3
LKA,-1.0,0.2171371763803426,3,3,3
LSO,0.5098257990550371,0.6428757758515582,6,4,1
LTU,-1.0,0.4267116791732022,3,3,4
LUX,-1.0,0.3581834972216385,3,3,4
LVA,-1.0,0.4318454464037088,3,3,3
MAR,-1.0,0.2581127295923159,3,4,1
MDA,-1.0,0.4417286241392766,3,4,1
MDG,-1.0,0.6444937469578682,3,4,1
MDV,-1.0,0.6036967707633021,6,5,1
MEX,-1.0,0.2369649012774833,3,3,1
MKD,-1.0,0.2959279060149453,3,3,3
MLI,0.7134200493146444,0.7575705244575218,3,5,1
MMR,0.4083434735757611,0.3381227271586283,3,4,1
MNE,-1.0,0.196100456062542,3,3,3
MNG,-1.0,0.3396662249458884,3,3,3
MOZ,-1.0,0.5073921695872848,3,4,1
MRT,-1.0,0.4260993047954923,3,4,1
MUS,-1.0,0.1199443159676473,3,3,3
MWI,0.7778859078667746,0.4519576417188483,3,4,1
MYS,-1.0,0.2196119195515201,3,3,3
NAM,0.5187130608434412,0.6147553066037735,7,5,1
NER,-1.0,0.510143862531822,3,4,1
NGA,0.6189351472533737,0.2278769180709663,3,5,1
NIC,-1.0,0.3589410004449255,3,4,1
NLD,-1.0,0.1768110635835309,3,3,3
NOR,-1.0,0.3673852381979258,3,3,3
NPL,0.787854246002653,0.327986544925454,6,4,1
NZL,-1.0,0.2694221826467929,3,3,3
OMN,-1.0,0.2582827324907817,3,3,3
PAK,0.3050156521552361,0.183046925500272,6,5,1
PAN,-1.0,0.3413749740213551,3,3,3
PER,-1.0,0.2920025833056933,3,3,3
PHL,0.153580364098079,0.2062949582901591,3,4,1
PNG,0.6557610229861534,0.7629057503336514,3,5,1
POL,-1.0,0.4104279452158154,3,3,4
PRT,-1.0,0.3113577278249539,3,3,3
PRY,-1.0,0.381168116456595,3,4,1
PSE,-1.0,0.0874181322429133,3,3,3
QAT,-1.0,0.0790781785604612,3,3,3
ROU,-1.0,0.465013267097398,3,3,3
RUS,-1.0,0.2276880124814459,3,3,5
RWA,0.7530587130061149,0.1432857001004498,3,4,1
SAU,-1.0,0.1694383953750261,3,3,3
SDN,-1.0,0.2723133835929009,3,4,1
SEN,0.4843326502930918,0.3178038282009765,6,6,1
SGP,-1.0,0.0019736231035201,3,3,3
SLB,-1.0,0.7819039750443172,3,4,1
SLE,0.6197872937841896,0.4677356236896898,6,5,1
SLV,-1.0,0.2513239998916815,3,4,1
SOM,-1.0,0.2008038554805749,3,4,1
SRB,-1.0,0.3604986349979142,3,3,4
SSD,-1.0,0.4228711498430232,3,4,1
STP,-1.0,0.1826971001055773,3,4,1
SUR,-1.0,0.3314746259844884,3,3,3
SVK,-1.0,0.4813176053110603,3,3,4
SVN,-1.0,0.5122645803587754,3,3,3
SWE,-1.0,0.3316369823153026,3,3,4
SWZ,-1.0,0.7469095543509162,3,4,1
SYR,-1.0,0.2425742017202381,3,4,1
TCD,0.8086876880620611,0.4874408543046732,3,5,1
TGO,0.5649047779133511,0.2948458592890923,3,5,1
THA,-1.0,0.4312787496487108,3,3,3
TJK,0.5208859436973768,0.194770458345429,6,5,1
TKM,-1.0,0.284431355571798,3,4,1
TLS,0.6197777586355414,0.5883915285469861,3,5,1
TON,-1.0,0.3992986231081962,3,4,1
TTO,-1.0,0.1488027499230329,3,3,3
TUN,-1.0,0.3166079809136142,3,3,3
TUR,-1.0,0.198833912316868,3,4,1
TZA,0.664194852433579,0.5116260111148893,6,5,1
UGA,0.7285842655418053,0.408556942302326,3,5,1
UKR,-1.0,0.2942000480430949,3,4,1
URY,-1.0,0.1438233127820148,3,3,2
USA,-1.0,0.281424745243118,3,3,4
UZB,-1.0,0.1730764886785156,3,3,3
VCT,-1.0,0.3090385093167702,3,3,3
VEN,-1.0,0.134299005110155,3,3,3
VNM,-1.0,0.1672161632543092,3,3,1
VUT,-1.0,0.6889165381801347,3,4,1
WSM,-1.0,0.4486428717022085,3,4,1
YEM,-1.0,0.2438271446104288,3,4,1
ZAF,-1.0,0.2512729139146589,7,3,1
ZMB,0.6653931421582844,0.483318101746181,3,5,1
ZWE,0.6832537608702457,0.6384576049377534,6,4,1
